"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Wi-Fi","additionalInfo/Amenities/1/Paid Wi-Fi","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Wi-Fi","additionalInfo/Amenities/2/Free Wi-Fi","additionalInfo/Amenities/2/Wi-Fi","additionalInfo/Amenities/3/Free Wi-Fi","additionalInfo/Children/0/Good for kids","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Organic products","additionalInfo/Offerings/0/Small plates","additionalInfo/Offerings/1/Prepared foods","additionalInfo/Offerings/2/Salad bar","additionalInfo/Parking/0/Free street parking","additionalInfo/Payments/0/Cash-only","additionalInfo/Payments/0/Checks","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/Debit cards","additionalInfo/Payments/0/Google Pay","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Checks","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/Debit cards","additionalInfo/Payments/1/Google Pay","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/Debit cards","additionalInfo/Payments/2/Google Pay","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Payments/3/Credit cards","additionalInfo/Payments/3/Debit cards","additionalInfo/Payments/3/Google Pay","additionalInfo/Payments/3/NFC mobile payments","additionalInfo/Payments/4/Credit cards","additionalInfo/Payments/4/Google Pay","additionalInfo/Payments/4/NFC mobile payments","additionalInfo/Payments/5/Credit cards","additionalInfo/Payments/5/NFC mobile payments","additionalInfo/Payments/6/Credit cards","additionalInfo/Recycling/0/Batteries","additionalInfo/Recycling/0/Plastic bags","additionalInfo/Service options/0/Curbside pickup","additionalInfo/Service options/0/Delivery","additionalInfo/Service options/0/In-store shopping","additionalInfo/Service options/0/No-contact delivery","additionalInfo/Service options/0/Takeout","additionalInfo/Service options/1/Delivery","additionalInfo/Service options/1/Dine-in","additionalInfo/Service options/1/In-store pickup","additionalInfo/Service options/1/In-store shopping","additionalInfo/Service options/1/No-contact delivery","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/1/Same-day delivery","additionalInfo/Service options/2/Delivery","additionalInfo/Service options/2/In-store pickup","additionalInfo/Service options/2/In-store shopping","additionalInfo/Service options/2/Onsite services","additionalInfo/Service options/2/Same-day delivery","additionalInfo/Service options/2/Takeout","additionalInfo/Service options/3/In-store pickup","additionalInfo/Service options/3/In-store shopping","additionalInfo/Service options/3/Onsite services","additionalInfo/Service options/3/Same-day delivery","additionalInfo/Service options/4/In-store shopping","additionalInfo/Service options/4/Onsite services","additionalInfo/Service options/4/Same-day delivery","additionalInfo/Service options/5/Onsite services","additionalInfo/Service options/5/Same-day delivery","additionalInfo/Service options/6/Same-day delivery","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","description","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","locatedIn","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reserveTableUrl","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"false",,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,"99, Sonal Building, Near Cumballa Hill Hospital, August Kranti Rd, Kemps Corner, Tardeo, Mumbai, Maharashtra 400036, India","Grocery store","Candy store",,,,,,,,,"Grocery store","5597832601076666068","Mumbai","true","IN",,"0x3be7ce75392027dd:0x4daf7f1793468ed4",,"https://lh5.googleusercontent.com/p/AF1QipO9AKo17CcUJqdigEaanANB20eQZBP3oYr4l9eo=w408-h271-k-no","41","false",,"18.9635536","72.8084801","Kemps Corner, Tardeo","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 9 PM","false","+91 22 2388 7878","+912223887878","ChIJ3ScgOXXO5zsR1I5Gkxd_r00","400036",,"14",,"410",,,,,,"2024-09-22T16:37:15.440Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","99, Sonal Building, Near Cumballa Hill Hospital, August Kranti Rd","अप्पेतीईते","false","Appetiite","4.2","https://www.google.com/maps/search/?api=1&query=Appetiite&query_place_id=ChIJ3ScgOXXO5zsR1I5Gkxd_r00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,"233, B Wing, Ambedkar Nagar Colony, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018, India","Indian grocery store",,,,,,,,,,"Indian grocery store","12909961348854076459","Mumbai","true","IN",,"0x3be7cf7d86ef74cd:0xb32965726678542b",,"https://lh5.googleusercontent.com/p/AF1QipOuyT1iFgb0HYwt5S3aEIVZaAMlQhgnMhtS9KoZ=w408-h306-k-no","4","false",,"19.0021636","72.8197388","B Wing, Ambedkar Nagar Colony, BDD Chawls Worli, Worli","Monday","8:30 AM to 9 PM","Tuesday","8:30 AM to 9 PM","Wednesday","8:30 AM to 9 PM","Thursday","8:30 AM to 9 PM","Friday","8:30 AM to 9 PM","Saturday","8:30 AM to 9 PM","Sunday","8:30 AM to 9 PM","false",,,"ChIJzXTvhn3P5zsRK1R4ZnJlKbM","400018",,"12",,"9",,,,,,"2024-09-22T16:37:15.484Z","https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en","grocery","Maharashtra","233","स्व मार्ट","false","SVS Mart","4.9","https://www.google.com/maps/search/?api=1&query=SVS%20Mart&query_place_id=ChIJzXTvhn3P5zsRK1R4ZnJlKbM",
,"false",,,,,"false",,,,"false",,,"false",,,"false",,,,,,,,,"true",,"true",,,,,,"true",,,,,,,,"true",,,,,"true",,,,,,,,,,,,,"true",,,,,,,,,"true",,,"true",,,,,,"true",,,,"true",,,,"true",,"Shop No 7, Arsiwala Compound, 119, St Mary Rd, opposite Mazgaon Court, Tadwadi, Mazgaon, Mumbai, Maharashtra 400010, India","Grocery store",,,,,,,,,,"Grocery store","7961110845634876926","Mumbai","false","IN",,"0x3be7cfed5fe62745:0x6e7b8c22639395fe",,"https://lh5.googleusercontent.com/p/AF1QipMFBloKYDCJ-hxPO9ZtkDnkERhzIWUJIpGaPFki=w408-h408-k-no","4","false",,"18.9685909","72.8375166","Tadwadi, Mazgaon","Monday","9 AM to 1 PM, 4 to 7:30 PM","Tuesday","9 AM to 1 PM, 4 to 7:30 PM","Wednesday","9 AM to 1 PM, 4 to 7:30 PM","Thursday","9 AM to 1 PM, 4 to 7:30 PM","Friday","9 AM to 1 PM, 4 to 7:30 PM","Saturday","9 AM to 1 PM, 4 to 7:30 PM","Sunday","9 AM to 1 PM","false","+91 99672 28786","+919967228786","ChIJRSfmX-3P5zsR_pWTYyKMe24","400010",,"12",,"42",,,,,,"2024-09-22T16:37:15.594Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.82988427305192,16z?hl=en","grocery","Maharashtra","Shop No 7, Arsiwala Compound, 119, St Mary Rd, opposite Mazgaon Court","हकिमी","false","Hakimi","4.5","https://www.google.com/maps/search/?api=1&query=Hakimi&query_place_id=ChIJRSfmX-3P5zsR_pWTYyKMe24",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"Simla Nagar, Malabar Hill, Mumbai, Maharashtra 400006, India","General store","Indian grocery store",,,,,,,,,"General store","1620892140905974821","Mumbai","false","IN",,"0x3be7cde48f209ccf:0x167e90d075ec4c25",,"https://lh5.googleusercontent.com/p/AF1QipMJ0L1a6y2xETis61aahNyhJyTfCCj9jlYDJHNR=w533-h240-k-no","4","false",,"18.9593368","72.8028068","Simla Nagar, Malabar Hill","Monday","6 AM to 11 PM","Tuesday","6 AM to 11 PM","Wednesday","6 AM to 11 PM","Thursday","6 AM to 11 PM","Friday","6 AM to 11 PM","Saturday","6 AM to 11 PM","Sunday","6 AM to 11 PM","false","+91 90224 90739","+919022490739","ChIJz5wgj-TN5zsRJUzsddCQfhY","400006",,"16",,"2",,,,,,"2024-09-22T16:37:15.440Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra",,"मोहनलाल गुप्ता स्टोर","false","Mohanlal gupta Store","5","https://www.google.com/maps/search/?api=1&query=Mohanlal%20gupta%20Store&query_place_id=ChIJz5wgj-TN5zsRJUzsddCQfhY",
,"true",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,"true",,,,,"true",,,,,"true","true",,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,"true",,,,"true",,,"true",,"Apeejay House, Ground Floor, 3, Dinshaw Vacha Rd, near K.C College, Churchgate, Mumbai, Maharashtra 400020, India","Gourmet grocery store","Fresh food market","Gift basket store","Grocery store","Organic food store","Wine store",,,,,"Gourmet grocery store","8524216697582138569","Mumbai","false","IN",,"0x3be7d16831463d21:0x764c19ec57d634c9",,"https://lh5.googleusercontent.com/p/AF1QipMm6TKpiIsJrv9vmuqD5_HNojydBJczSHueYCgM=w408-h544-k-no","175","false",,"18.929611","72.8275445","Churchgate","Monday","8 AM to 10 PM","Tuesday","8 AM to 10 PM","Wednesday","8 AM to 10 PM","Thursday","8 AM to 10 PM","Friday","8 AM to 10 PM","Saturday","8 AM to 10 PM","Sunday","8 AM to 10 PM","false","+91 88800 77745","+918880077745","ChIJIT1GMWjR5zsRyTTWV-wZTHY","400020",,"12",,"506",,,,,,"2024-09-22T16:37:15.748Z","https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en","grocery","Maharashtra","Apeejay House, Ground Floor, 3, Dinshaw Vacha Rd, near K.C College","नेचर्स बास्केट","false","Nature's Basket","4.3","https://www.google.com/maps/search/?api=1&query=Nature's%20Basket&query_place_id=ChIJIT1GMWjR5zsRyTTWV-wZTHY","https://m.naturesbasket.co.in/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G K Marg, Lower Parel, Mumbai, Maharashtra 400013, India","Grocery store",,,,,,,,,,"Grocery store","14297560474299167661","Mumbai","false","IN",,"0x3be7cf0b6f7538ed:0xc66b237fe94473ad",,"https://lh5.googleusercontent.com/p/AF1QipPBVWTN38MJeHNUuVVDXArxlbVyZVndedIh1rU0=w408-h544-k-no","1","false",,"18.9973238","72.8241209","Lower Parel","Monday","9 AM to 11 PM","Tuesday","9 AM to 11 PM","Wednesday","9 AM to 11 PM","Thursday","9 AM to 11 PM","Friday","9 AM to 11 PM","Saturday","9 AM to 11 PM","Sunday","9 AM to 11 PM","false","+91 98921 12666","+919892112666","ChIJ7Th1bwvP5zsRrXNE6X8ja8Y","400013",,"13",,"1",,,,,,"2024-09-22T16:37:15.484Z","https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en","grocery","Maharashtra","G K Marg","सिध्दिविन्यक चना भंडार","false","Siddhivinyak Chana Bhandar","4","https://www.google.com/maps/search/?api=1&query=Siddhivinyak%20Chana%20Bhandar&query_place_id=ChIJ7Th1bwvP5zsRrXNE6X8ja8Y",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"37/2645, Abhyudaya Nagar Rd, Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India","Grocery store","Bakery","Candy store","Deli",,,,,,,"Grocery store","5916295211194715314","Mumbai","true","IN",,"0x3be7cef86e471aa9:0x521ae726119b0cb2",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhEBUgryK7boiFdzBvfzPXwc32t74VFOFkWxo7lWyheCVQpopqH73zseV2twTjGdbcxsG22xjqacml1tXlWjZUCz59iJWY8xvyDxAG32476OyD8-oJx1zFZf2T1DrkB1zJmK74CB21pm7FSk9bxG_d6MM_K8dgAiUQ2Yn0510w7QiSnIlabL2ixFfrgPlQtlhUncjA=w408-h306-k-no","4","false",,"18.9905071","72.8416511","Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel","Monday","8:30 AM to 9:30 PM","Tuesday","8:30 AM to 9:30 PM","Wednesday","8:30 AM to 9:30 PM","Thursday","8:30 AM to 9:30 PM","Friday","8:30 AM to 9:30 PM","Saturday","8:30 AM to 9:30 PM","Sunday","8:30 AM to 9:30 PM","false","+91 98200 16043","+919820016043","ChIJqRpHbvjO5zsRsgybESbnGlI","400033",,"13",,"33",,,,,,"2024-09-22T16:37:15.647Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en","grocery","Maharashtra","37/2645, Abhyudaya Nagar Rd","गला फूड्स","false","Gala Foods","4.2","https://www.google.com/maps/search/?api=1&query=Gala%20Foods&query_place_id=ChIJqRpHbvjO5zsRsgybESbnGlI",
,,,,,,,,,,,,,,,,"false",,,,,,,,,,,"true",,,,,,"true",,,,,,"true",,,,,"true",,,,,"true",,,,"true","true",,,,,,,,"true",,"true",,,,,,,,"true",,,,,,"true",,,,,"true",,,,"Rajat Food Mart, Shop No. 6, Mount Pleasant Road, Nepean Sea Rd, Malabar Hill, Mumbai, Maharashtra 400006, India","Grocery store","Supermarket",,,,,,,,,"Grocery store","17853999222206577849","Mumbai","false","IN",,"0x3be7cde3872746cd:0xf7c625b2b3b93cb9",,"https://lh5.googleusercontent.com/p/AF1QipPhAVjB8yC7xceTYbR7DCo5EE5fPgYGn9JCj4S_=w408-h306-k-no","70","false",,"18.9543105","72.798574","Malabar Hill","Monday","9:30 AM to 8:30 PM","Tuesday","9:30 AM to 8:30 PM","Wednesday","9:30 AM to 8:30 PM","Thursday","9:30 AM to 8:30 PM","Friday","9:30 AM to 8:30 PM","Saturday","9:30 AM to 8:30 PM","Sunday","9:30 AM to 1 PM","false","+91 22 2363 7707","+912223637707","ChIJzUYnh-PN5zsRuTy5s7Ilxvc","400006",,"2",,"161",,,,,,"2024-09-22T16:37:15.837Z","https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en","grocery","Maharashtra","Rajat Food Mart, Shop No. 6, Mount Pleasant Road, Nepean Sea Rd","रजत फूड मार्ट","false","Rajat Food Mart","4.5","https://www.google.com/maps/search/?api=1&query=Rajat%20Food%20Mart&query_place_id=ChIJzUYnh-PN5zsRuTy5s7Ilxvc",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"shop no, Warden Court Building, 20, August Kranti Rd, Gowalia Tank, Grant Road, Mumbai, Maharashtra 400026, India","Indian grocery store",,,,,,,,,,"Indian grocery store","13470155966438059900","Mumbai","false","IN",,"0x3be7cf51a1945d19:0xbaef9b7bc8a62f7c",,"https://lh5.googleusercontent.com/p/AF1QipPEjOiFo_gfHodJgTPwWKorChO1aKmFna_cT3Bv=w426-h240-k-no","2","false","Warden Court Building","18.9635673","72.8096738","Gowalia Tank, Grant Road","Monday","7:30 AM to 10 PM","Tuesday","7:30 AM to 10 PM","Wednesday","7:30 AM to 10 PM","Thursday","7:30 AM to 10 PM","Friday","7:30 AM to 10 PM","Saturday","7:30 AM to 10 PM","Sunday","7:30 AM to 10 PM","false",,,"ChIJGV2UoVHP5zsRfC-myHub77o","400026",,"17",,"42",,,,,,"2024-09-22T16:37:15.440Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","shop no, Warden Court Building, 20, August Kranti Rd","कामधेनु द्र्य्फ्रुइट्स ग्रेन्स एंड प्रोविसिओंस","false","Kamdhenu Dryfruits Grains and Provisions","4.2","https://www.google.com/maps/search/?api=1&query=Kamdhenu%20Dryfruits%20Grains%20and%20Provisions&query_place_id=ChIJGV2UoVHP5zsRfC-myHub77o",
,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,"Ground Floor, SK Bhole Marg Agarbazar, Parbhadevi, Dadar, Mumbai, Maharashtra 400028, India","Hypermarket","FMCG goods wholesaler","Grocery delivery service","Indian grocery store","Shopping mall",,,,,,"Hypermarket","16830212379353155305","Mumbai","false","IN",,"0x3be7cfbfd8c9e777:0xe990ecfd1dba06e9",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jvbt85tL_A105BGZrWbAnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.61076&pitch=0&thumbfov=100","2","false",,"19.017947","72.8322197","Dadar","Monday","7 AM to 11 PM","Tuesday","7 AM to 11 PM","Wednesday","7 AM to 11 PM","Thursday","7 AM to 11 PM","Friday","7 AM to 11 PM","Saturday","7 AM to 11 PM","Sunday","7 AM to 11 PM","false","+91 1800 891 0001",,"ChIJd-fJ2L_P5zsR6Qa6Hf3skOk","400028",,"15",,"0",,,,,,"2024-09-22T16:37:15.748Z","https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en","grocery","Maharashtra","Ground Floor, SK Bhole Marg Agarbazar, Parbhadevi","रिलायंस स्मार्ट सुपेर्स्तोरे","false","Reliance SMART Superstore",,"https://www.google.com/maps/search/?api=1&query=Reliance%20SMART%20Superstore&query_place_id=ChIJd-fJ2L_P5zsR6Qa6Hf3skOk","https://stores.reliancesmartbazaar.com/reliance-smart-superstore-shopping-outlet-dadar-mumbai-280646/Home?utm_source=locator&utm_medium=googleplaces"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY, Mumbai Central, Mumbai, Maharashtra 400008, India","Indian grocery store",,,,,,,,,,"Indian grocery store","14274553540852397268","Mumbai","false","IN",,"0x3be7cf8f753abb53:0xc61966d0c9cd34d4",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vmo-jU6OtpaqKn5hI_i3rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.647268&pitch=0&thumbfov=100","1","false",,"18.9671396","72.8286571","Mumbai Central","Monday","9 AM to 10 PM","Tuesday","9 AM to 10 PM","Wednesday","9 AM to 10 PM","Thursday","9 AM to 10 PM","Friday","9 AM to 10 PM","Saturday","8 AM to 10 PM","Sunday","8 AM to 9 PM","false","+91 98334 90096","+919833490096","ChIJU7s6dY_P5zsR1DTNydBmGcY","400008",,"13",,"1",,,,,,"2024-09-22T16:37:15.594Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.82988427305192,16z?hl=en","grocery","Maharashtra","GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY","नंदू सुपर मार्केट के के मार्ग","false","Nandu Super Market K K Marg","5","https://www.google.com/maps/search/?api=1&query=Nandu%20Super%20Market%20K%20K%20Marg&query_place_id=ChIJU7s6dY_P5zsR1DTNydBmGcY",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"78, Nepean Sea Rd, Teen Batti, Malabar Hill, Mumbai, Maharashtra 400006, India","Grocery store","Grocery delivery service",,,,,,,,,"Grocery store","16467996491212043446","Mumbai","false","IN",,"0x3be7cde49144e1d7:0xe48a138ebd12b4b6",,"https://lh5.googleusercontent.com/p/AF1QipOGkyYedhXE3rWup2IYXXJPOUyS5SkVJuSp-iBu=w408-h544-k-no","4","false",,"18.9518134","72.7973665","Teen Batti, Malabar Hill",,,,,,,,,,,,,,,"false",,,"ChIJ1-FEkeTN5zsRtrQSvY4TiuQ","400006",,"3",,"33",,,,,,"2024-09-22T16:37:15.838Z","https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en","grocery","Maharashtra","78, Nepean Sea Rd","डी मार्ट रेडी","false","DMart Ready","4.1","https://www.google.com/maps/search/?api=1&query=DMart%20Ready&query_place_id=ChIJ1-FEkeTN5zsRtrQSvY4TiuQ",
,"true",,,,,"true",,,,"false",,,"false",,,,"true","true",,,,,,,,"true",,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India","Grocery store",,,,,,,,,,"Grocery store","1055104688435529880","Mumbai","false","IN",,"0x3be7cef8657249c9:0xea47c1fbb0c8898",,"https://lh5.googleusercontent.com/p/AF1QipNPv0iwkemOrxZZcdp8z6T9G6eumq9Kws2C3gq9=w408-h544-k-no","120","false",,"18.9906014","72.8420226","Kalachowki, Abhyudaya Nagar, Parel","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJyUlyZfjO5zsRmIgMux98pA4","400033",,"14",,"4",,,,,,"2024-09-22T16:37:15.647Z","https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en","grocery","Maharashtra",,"सक कदम अगरबती","false","SK kadam Agarbati","4.8","https://www.google.com/maps/search/?api=1&query=SK%20kadam%20Agarbati&query_place_id=ChIJyUlyZfjO5zsRmIgMux98pA4",
,"false",,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,"true",,,,,"true",,,,"Shop No. 8, Tirupati Apartment, Warden Rd, opp. Trayambakeshwar Mahadev Temple, Breach Candy, Mahalakshmi, Mumbai, Maharashtra 400011, India","Grocery store",,,,,,,,,,"Grocery store","11130266256164105685","Mumbai","false","IN",,"0x3be7cf7ca0877183:0x9a76a630762dadd5",,"https://lh5.googleusercontent.com/p/AF1QipMc6lmkLzWk0iq4_C0zGnySXXDll3ktMiXpthrw=w426-h240-k-no","122","false",,"18.9761701","72.8078026","Breach Candy, Mahalakshmi","Monday","8 AM to 10 PM","Tuesday","8 AM to 10 PM","Wednesday","8 AM to 10 PM","Thursday","8 AM to 10 PM","Friday","8 AM to 10 PM","Saturday","8 AM to 10 PM","Sunday","8 AM to 10 PM","false","+91 88800 77745","+918880077745","ChIJg3GHoHzP5zsR1a0tdjCmdpo","400011",,"18",,"509",,,,,,"2024-09-22T16:37:15.440Z","https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en","grocery","Maharashtra","Shop No. 8, Tirupati Apartment, Warden Rd, opp. Trayambakeshwar Mahadev Temple","नेचर्स बास्केट","false","Nature's Basket","4.2","https://www.google.com/maps/search/?api=1&query=Nature's%20Basket&query_place_id=ChIJg3GHoHzP5zsR1a0tdjCmdpo","http://m.naturesbasket.co.in/"
,"false",,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true","true",,,,,,,,,,,,,,,"true",,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,"Shop Number 1 & 2, Suryoday Society, New Prabhadevi Rd, Near Old Samna Press, Prabhadevi, Mumbai, Maharashtra 400025, India","Grocery store",,,,,,,,,,"Grocery store","15086240312277032043","Mumbai","false","IN",,"0x3be7ceea964a8de9:0xd15d17a239735c6b",,"https://lh5.googleusercontent.com/p/AF1QipNqEQGJuG7_lrStFdQori5G9k4pOEAY1Zu3QI0_=w408-h306-k-no","4","false",,"19.01097","72.829453","Prabhadevi","Monday","8:30 AM to 10:30 PM","Tuesday","8:30 AM to 10:30 PM","Wednesday","8:30 AM to 10:30 PM","Thursday","8:30 AM to 10:30 PM","Friday","8:30 AM to 10:30 PM","Saturday","8:30 AM to 10:30 PM","Sunday","8:30 AM to 10:30 PM","false","+91 22 2436 0529","+912224360529","ChIJ6Y1KlurO5zsRa1xzOaIXXdE","400025",,"14",,"45",,,,,,"2024-09-22T16:37:15.484Z","https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en","grocery","Maharashtra","Shop Number 1 & 2, Suryoday Society, New Prabhadevi Rd, Near Old Samna Press","मनीष सुपरमार्केट","false","Manish Supermarket","4.2","https://www.google.com/maps/search/?api=1&query=Manish%20Supermarket&query_place_id=ChIJ6Y1KlurO5zsRa1xzOaIXXdE",
