,additionalInfo/Service options/0/Delivery,address,categories/0,categoryName,cid,city,claimThisBusiness,countryCode,fid,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,placeId,postalCode,rank,reviewsCount,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,title,totalScore,url,cleaned_street,cleaned_address
35,True,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters, Mumbai, Maharashtra 400004, India",Grocery store,Grocery store,13499315222925703759,Mumbai,False,IN,0x3be7cffb99f60c89:0xbb5733ac3d827a4f,https://lh5.googleusercontent.com/p/AF1QipPdCoEHMStV8paXUZZ9zFiONGkZ_jJxWbdEJNIZ=w514-h240-k-no,4.0,False,18.9585811,72.8222904,"Charni Road East, Khetwadi, Grant Road",Monday,8 AM to 10 PM,Tuesday,8 AM to 10 PM,Wednesday,8 AM to 10 PM,Thursday,8 AM to 10 PM,Friday,8 AM to 10 PM,Saturday,8 AM to 10 PM,Sunday,8 AM to 10 PM,False,+91 70213 77792,917021377792.0,ChIJiQz2mfvP5zsRT3qCPawzV7s,400004.0,11,10,2024-09-22T16:37:15.439Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters",रेलिअब्ले सुपरमार्केट,False,Reliable Supermarket,4.1,https://www.google.com/maps/search/?api=1&query=Reliable%20Supermarket&query_place_id=ChIJiQz2mfvP5zsRT3qCPawzV7s,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters","Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters, Mumbai, Maharashtra 400004, India"
40,True,"Gaiwadi X Lane No. 7, Below Royal Avenue Tower, Dr Viegas St, Mumbai, Maharashtra 400002, India",Indian grocery store,Indian grocery store,5025471531423628583,Mumbai,True,IN,0x3be7cfea2e11b9e1:0x45be0fbb5357fd27,https://lh5.googleusercontent.com/p/AF1QipPzmHVN-hYHfW3lkXHbcVFiAN9riisi534fHjFm=w408-h271-k-no,2.0,False,18.9490211,72.8273759,"Marine Lines East, Pungeswari, Kalbadevi",Monday,7 AM to 11 PM,Tuesday,7 AM to 11 PM,Wednesday,7 AM to 11 PM,Thursday,7 AM to 11 PM,Friday,7 AM to 11 PM,Saturday,7 AM to 11 PM,Sunday,7 AM to 11 PM,False,+91 79000 80636,917900080636.0,ChIJ4bkRLurP5zsRJ_1XU7sPvkU,400002.0,4,3,2024-09-22T16:37:15.747Z,"https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en",grocery,Maharashtra,"Gaiwadi X Lane No. 7, Below Royal Avenue Tower, Dr Viegas St",द सस्ता स्टोर,False,The Sasta Store,5.0,https://www.google.com/maps/search/?api=1&query=The%20Sasta%20Store&query_place_id=ChIJ4bkRLurP5zsRJ_1XU7sPvkU,"Gaiwadi X Lane No. 7, Royal Avenue Tower, Dr Viegas St","Gaiwadi X Lane No. 7, Royal Avenue Tower, Dr Viegas St, Mumbai, Maharashtra 400002, India"
44,True,"Shop no 1, Diamond Building, R.B Marg, Chaskar Chawl, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India",Indian grocery store,Indian grocery store,6330632998826065317,Mumbai,False,IN,0x3be7ce5a64fc5343:0x57daed2bda64bda5,https://lh5.googleusercontent.com/p/AF1QipOsKOFaBEu23SZPtD1K8P5qTKQ6YfL5lha6E5Y-=w408-h272-k-no,4.0,False,18.9804587,72.8406179,"Chaskar Chawl, Ghodapdeo, Byculla East, Byculla",Monday,7:30 AM to 10 PM,Tuesday,7:30 AM to 10 PM,Wednesday,7:30 AM to 10 PM,Thursday,7:30 AM to 10 PM,Friday,7:30 AM to 10 PM,Saturday,7:30 AM to 10 PM,Sunday,7:30 AM to 10 PM,False,+91 82912 29367,918291229367.0,ChIJQ1P8ZFrO5zsRpb1k2ivt2lc,400033.0,11,28,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"Shop no 1, Diamond Building, R.B Marg",पी॰एम॰ गुप्ता फरसाण मार्ट (सिन्स 1979),False,P.M. Gupta Farsan Mart (since 1979),4.4,https://www.google.com/maps/search/?api=1&query=P.M.%20Gupta%20Farsan%20Mart%20(since%201979)&query_place_id=ChIJQ1P8ZFrO5zsRpb1k2ivt2lc,"Shop 1, Diamond Building, R.B Marg","Shop 1, Diamond Building, R.B Marg, Chaskar Chawl, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India"
47,True,"252-56, Bara Imam Rd, Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar, Mumbai, Maharashtra 400003, India",Indian grocery store,Indian grocery store,2959952715920297438,Mumbai,False,IN,0x3be7ce3d994fa707:0x2913dd500861cdde,https://lh5.googleusercontent.com/p/AF1QipMtYYP0F_bh1H_Wg58JX-YkMOWm2YAv-xmsfNzX=w408-h306-k-no,4.0,False,18.9573777,72.8289672,"Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar",Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 7 PM,Sunday,Closed,False,+91 98207 69988,919820769988.0,ChIJB6dPmT3O5zsR3s1hCFDdEyk,400003.0,10,73,2024-09-22T16:37:15.594Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.82988427305192,16z?hl=en",grocery,Maharashtra,"252-56, Bara Imam Rd",शा रामजी भावांजी & को॰,False,Sha Ramji Bhavanji & Co.,4.6,https://www.google.com/maps/search/?api=1&query=Sha%20Ramji%20Bhavanji%20%26%20Co.&query_place_id=ChIJB6dPmT3O5zsR3s1hCFDdEyk,"252-56, Bara Imam Rd","252-56, Bara Imam Rd, Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar, Mumbai, Maharashtra 400003, India"
50,True,"14, Modi Seth Chawl, GD Ambekar Marg, Ambewadi, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India",Indian grocery store,Indian grocery store,4905130633755931911,Mumbai,False,IN,0x3be7cef86cf26351:0x44128652a9e8b507,https://lh5.googleusercontent.com/p/AF1QipPi8bqJA_6DesW8yl-k3pWJaa9pL2Rsz2KCZzfl=w408-h306-k-no,4.0,False,18.99089,72.8413993,"Ambewadi, Kalachowki, Lal Baug, Parel",Monday,8:30 AM to 8:30 PM,Tuesday,8:30 AM to 8:30 PM,Wednesday,8:30 AM to 8:30 PM,Thursday,8:30 AM to 8:30 PM,Friday,8:30 AM to 8:30 PM,Saturday,8:30 AM to 8:30 PM,Sunday,8:30 AM to 1 PM,False,+91 98200 90948,919820090948.0,ChIJUWPybPjO5zsRB7XoqVKGEkQ,400033.0,12,3,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"14, Modi Seth Chawl, GD Ambekar Marg",अपना सुपर मार्केट,False,Apana Super Market,4.7,https://www.google.com/maps/search/?api=1&query=Apana%20Super%20Market&query_place_id=ChIJUWPybPjO5zsRB7XoqVKGEkQ,"14, Modi Seth Chawl, GD Ambekar Marg","14, Modi Seth Chawl, GD Ambekar Marg, Ambewadi, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India"
58,True,"37/2645, Abhyudaya Nagar Rd, Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India",Grocery store,Grocery store,5916295211194715314,Mumbai,True,IN,0x3be7cef86e471aa9:0x521ae726119b0cb2,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEBUgryK7boiFdzBvfzPXwc32t74VFOFkWxo7lWyheCVQpopqH73zseV2twTjGdbcxsG22xjqacml1tXlWjZUCz59iJWY8xvyDxAG32476OyD8-oJx1zFZf2T1DrkB1zJmK74CB21pm7FSk9bxG_d6MM_K8dgAiUQ2Yn0510w7QiSnIlabL2ixFfrgPlQtlhUncjA=w408-h306-k-no,4.0,False,18.9905071,72.8416511,"Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel",Monday,8:30 AM to 9:30 PM,Tuesday,8:30 AM to 9:30 PM,Wednesday,8:30 AM to 9:30 PM,Thursday,8:30 AM to 9:30 PM,Friday,8:30 AM to 9:30 PM,Saturday,8:30 AM to 9:30 PM,Sunday,8:30 AM to 9:30 PM,False,+91 98200 16043,919820016043.0,ChIJqRpHbvjO5zsRsgybESbnGlI,400033.0,13,33,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"37/2645, Abhyudaya Nagar Rd",गला फूड्स,False,Gala Foods,4.2,https://www.google.com/maps/search/?api=1&query=Gala%20Foods&query_place_id=ChIJqRpHbvjO5zsRsgybESbnGlI,"37/2645, Abhyudaya Nagar Rd","37/2645, Abhyudaya Nagar Rd, Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India"
62,True,"GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY, Mumbai Central, Mumbai, Maharashtra 400008, India",Indian grocery store,Indian grocery store,14274553540852397268,Mumbai,False,IN,0x3be7cf8f753abb53:0xc61966d0c9cd34d4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vmo-jU6OtpaqKn5hI_i3rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.647268&pitch=0&thumbfov=100,1.0,False,18.9671396,72.8286571,Mumbai Central,Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,8 AM to 10 PM,Sunday,8 AM to 9 PM,False,+91 98334 90096,919833490096.0,ChIJU7s6dY_P5zsR1DTNydBmGcY,400008.0,13,1,2024-09-22T16:37:15.594Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.82988427305192,16z?hl=en",grocery,Maharashtra,"GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY",नंदू सुपर मार्केट के के मार्ग,False,Nandu Super Market K K Marg,5.0,https://www.google.com/maps/search/?api=1&query=Nandu%20Super%20Market%20K%20K%20Marg&query_place_id=ChIJU7s6dY_P5zsR1DTNydBmGcY,"GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY","GALA NO.3, SHIV SAMURTI BLDG.4, 4, Anandilal P Marg, near NAVJIVAN SOCIETY, Mumbai Central, Mumbai, Maharashtra 400008, India"
68,True,"Shop no. 77, Bawla Masjid Building, Plot no 271, NM Joshi Marg, Irani chawl, Lower Parel, Mumbai, Maharashtra 400013, India",Indian grocery store,Indian grocery store,6644116575993055449,Mumbai,False,IN,0x3be7cf6f50a2b519:0x5c34a4d2e659c8d9,https://lh5.googleusercontent.com/p/AF1QipPO2KCrcD1vwqoUADPE0_L_4mNkW5KlzuBHE1eh=w427-h240-k-no,4.0,False,18.9932314,72.8312732,"Irani chawl, Lower Parel",Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 2 PM,False,+91 99203 76033,919920376033.0,ChIJGbWiUG_P5zsR2chZ5tKkNFw,400013.0,17,1,2024-09-22T16:37:15.748Z,"https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en",grocery,Maharashtra,"Shop no. 77, Bawla Masjid Building, Plot no 271, NM Joshi Marg","राजेश स्टोर - ग्रोसेरी शॉप & सुपरमार्केट | कर्री रोड, लोअर परेल",False,"Rajesh Store - Grocery shop & Supermarket | Currey road, Lower parel",5.0,https://www.google.com/maps/search/?api=1&query=Rajesh%20Store%20-%20Grocery%20shop%20%26%20Supermarket%20%7C%20Currey%20road%2C%20Lower%20parel&query_place_id=ChIJGbWiUG_P5zsR2chZ5tKkNFw,"Shop no. 77, Bawla Masjid Building, Plot 271, NM Joshi Marg","Shop no. 77, Bawla Masjid Building, Plot 271, NM Joshi Marg, Irani chawl, Lower Parel, Mumbai, Maharashtra 400013, India"
69,True,"Shop Number 1/1A, Mini Sudarshan Building, Near Nepean Sea Road, LD Ruparel Marg, Malabar Hill, Mumbai, Maharashtra 400006, India",Grocery store,Grocery store,8019974334080877892,Mumbai,True,IN,0x3be7cde2f1b44ddf:0x6f4cac2a4aa40544,https://lh5.googleusercontent.com/p/AF1QipMufRvoE-j5iukIUvdvNhgziyvAPuftBnMA8EKg=w408-h317-k-no,4.0,False,18.9537439,72.8022824,Malabar Hill,Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 2:30 PM,False,+91 99679 18419,919967918419.0,ChIJ30208eLN5zsRRAWkSiqsTG8,400006.0,4,71,2024-09-22T16:37:15.838Z,"https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en",grocery,Maharashtra,"Shop Number 1/1A, Mini Sudarshan Building, Near Nepean Sea Road, LD Ruparel Marg, Malabar Hill",वेलकम जनरल स्टोअर्स,False,Welcome General Stores,4.5,https://www.google.com/maps/search/?api=1&query=Welcome%20General%20Stores&query_place_id=ChIJ30208eLN5zsRRAWkSiqsTG8,"Shop Number 1/1A, Mini Sudarshan Building, Near Nepean Sea Road, LD Ruparel Marg, Malabar Hill","Shop Number 1/1A, Mini Sudarshan Building, Near Nepean Sea Road, LD Ruparel Marg, Malabar Hill, Mumbai, Maharashtra 400006, India"
70,True,"Dhudwala Complex, 12 Basement, Kedy Tower, 233 - B, Bellasis Road, Clare Road, E Wing, Jehangir Boman Behram Rd, RBI Staff Colony, Mumbai Central, Mumbai, Maharashtra 400008, India",Dry fruit store,Dry fruit store,12340075605741489920,Mumbai,False,IN,0x3be7ce6b94de57d7:0xab40c16205af4f00,https://lh5.googleusercontent.com/p/AF1QipODgdp4XjpLV60fyAXM5ZgPdnx16eULzkyfTA2B=w648-h240-k-no,4.0,False,18.9692116,72.8232731,"RBI Staff Colony, Mumbai Central",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,9 AM to 3:30 PM,False,+91 82910 10003,918291010003.0,ChIJ11felGvO5zsRAE-vBWLBQKs,400008.0,19,30,2024-09-22T16:37:15.440Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"Dhudwala Complex, 12 Basement, Kedy Tower, 233 - B, Bellasis Road, Clare Road, E Wing, Jehangir Boman Behram Rd",सुकामेवा मार्ट,False,Dryfruit Mart,4.2,https://www.google.com/maps/search/?api=1&query=Dryfruit%20Mart&query_place_id=ChIJ11felGvO5zsRAE-vBWLBQKs,"Dhudwala Complex, 12 Basement, Kedy Tower, 233 - B, Bellasis Road, Clare Road, E Wing, Jehangir Boman Behram Rd","Dhudwala Complex, 12 Basement, Kedy Tower, 233 - B, Bellasis Road, Clare Road, E Wing, Jehangir Boman Behram Rd, RBI Staff Colony, Mumbai Central, Mumbai, Maharashtra 400008, India"
73,True,"Shop No, CLUSTER_MUMBAI-40, 135R, Rambhau Bhogle Marg, Ferbandar, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India",Grocery store,Grocery store,4981551262839627728,Mumbai,True,IN,0x3be7ce50bbe90f77:0x4522067aebf45fd0,https://lh5.googleusercontent.com/p/AF1QipNWCDlTs15Sd7U07Lws3Jpt2KMb14nD_WjpCZvT=w408-h725-k-no,3.0,False,18.9828757,72.8407284,"Ferbandar, Ghodapdeo, Byculla East, Byculla",Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,9 AM to 10 PM,Sunday,9 AM to 10 PM,False,+91 90048 38921,919004838921.0,ChIJdw_pu1DO5zsR0F_063oGIkU,400033.0,15,1,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"Shop No, CLUSTER_MUMBAI-40, 135R, Rambhau Bhogle Marg",श्री करधर फरसाण मार्ट,False,Shree Kardhar Farsan Mart,5.0,https://www.google.com/maps/search/?api=1&query=Shree%20Kardhar%20Farsan%20Mart&query_place_id=ChIJdw_pu1DO5zsR0F_063oGIkU,"Shop No, CLUSTER_MUMBAI-40, 135R, Rambhau Bhogle Marg","Shop No, CLUSTER_MUMBAI-40, 135R, Rambhau Bhogle Marg, Ferbandar, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India"
77,True,"Patil Niwas, 241, Walkeshwar Rd, Raj Bhavan, Malabar Hill, Mumbai, Maharashtra 400006, India",Grocery store,Grocery store,9453066985043198467,Mumbai,False,IN,0x3be7cdfbd321f949:0x83300a56a1790203,https://lh5.googleusercontent.com/p/AF1QipMu2vzyAUBoG2p9u3m8-FdylrhKEOJnhn9XRZqG=w408-h306-k-no,4.0,False,18.9455968,72.7954459,"Raj Bhavan, Malabar Hill",Monday,8 AM to 9 PM,Tuesday,8 AM to 9 PM,Wednesday,8 AM to 9 PM,Thursday,8 AM to 9 PM,Friday,8 AM to 9 PM,Saturday,8 AM to 9 PM,Sunday,8 AM to 1 PM,False,+91 22 2369 6786,912223696786.0,ChIJSfkh0_vN5zsRAwJ5oVYKMIM,400006.0,5,63,2024-09-22T16:37:15.838Z,"https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en",grocery,Maharashtra,"Patil Niwas, 241, Walkeshwar Rd",शाह प्रोविजन स्टोअर्स,False,Shah Provision Stores,4.1,https://www.google.com/maps/search/?api=1&query=Shah%20Provision%20Stores&query_place_id=ChIJSfkh0_vN5zsRAwJ5oVYKMIM,"Patil Niwas, 241, Walkeshwar Rd","Patil Niwas, 241, Walkeshwar Rd, Raj Bhavan, Malabar Hill, Mumbai, Maharashtra 400006, India"
80,True,"74/C, Mohammed Ali Rd, Nakhuda Mohalla, Chippi Chawl, Masjid Bandar, Mumbai, Maharashtra 400003, India",Indian grocery store,Indian grocery store,971472112663540898,Mumbai,True,IN,0x3be7ce249d3b4a97:0xd7b5cbd488234a2,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGGitJNW5eguLKb-ckzq-shTnPu7IetPRV5a-jqcY40NmXqlqj0usEKPRszWCRVMhaLtsMeMeV6V1tv-aZWHYbmNw90s-TGCirpKfWb2jN6ug76V3Dg7ZYNxihpIOxgwGqYeiI3Myg38shkgj3ZRudra7s9HfSveUHVe3M4YPqI9GADYv2Dwj3221WFHranB1IKMQ=w408-h306-k-no,4.0,False,18.95098,72.8343934,"Nakhuda Mohalla, Chippi Chawl, Masjid Bandar",Monday,7 AM to 12 AM,Tuesday,7 AM to 12 AM,Wednesday,7 AM to 12 PM,Thursday,7 AM to 12 AM,Friday,7 AM to 12 PM,Saturday,7 AM to 12 AM,Sunday,7 AM to 12 AM,False,+91 98206 60955,919820660955.0,ChIJl0o7nSTO5zsRojSCSL1cew0,400003.0,20,79,2024-09-22T16:37:15.748Z,"https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en",grocery,Maharashtra,"74/C, Mohammed Ali Rd",अल्फा फर्शन,False,Alfa Farshan,4.4,https://www.google.com/maps/search/?api=1&query=Alfa%20Farshan&query_place_id=ChIJl0o7nSTO5zsRojSCSL1cew0,"74/C, Mohammed Ali Rd","74/C, Mohammed Ali Rd, Nakhuda Mohalla, Chippi Chawl, Masjid Bandar, Mumbai, Maharashtra 400003, India"
86,True,"Oppo Dariya mahal, Bus Stop, 80 Nepean sea road 1/A Stardust building, Mumbai, Maharashtra 400006, India",Grocery store,Grocery store,5181389347990216642,Mumbai,False,IN,0x3be7cf7156ad03bb:0x47e7fe28e9f31fc2,https://lh5.googleusercontent.com/p/AF1QipNEy-JW-va_hC0Jm4WhzzxVwOxZJdPHqHQVVA2T=w408-h544-k-no,47.0,False,18.9530738,72.7972738,Malabar Hill,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,8 AM to 8 PM,Sunday,9 AM to 12 AM,False,+91 76664 23535,917666423535.0,ChIJuwOtVnHP5zsRwh_z6Sj-50c,400006.0,7,11,2024-09-22T16:37:15.838Z,"https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en",grocery,Maharashtra,"Oppo Dariya mahal, Bus Stop, 80 Nepean sea road 1/A Stardust building",शाह भीमशी नैया | सुपरमार्केट | ग्रोसेरी स्टोर |चोकोलातेस | द्र्य्फ्रुइट्स आइसक्रीम,False,SHAH BHIMSHI NAIYA | SUPERMARKET | GROCERY STORE |CHOCOLATES | DRYFRUITS ICECREAM,2.9,https://www.google.com/maps/search/?api=1&query=SHAH%20BHIMSHI%20NAIYA%20%7C%20SUPERMARKET%20%7C%20GROCERY%20STORE%20%7CCHOCOLATES%20%7C%20DRYFRUITS%20ICECREAM&query_place_id=ChIJuwOtVnHP5zsRwh_z6Sj-50c,"Oppo Dariya mahal, Bus Stop, 80 Nepean sea road 1/A Stardust building","Oppo Dariya mahal, Bus Stop, 80 Nepean sea road 1/A Stardust building, Mumbai, Maharashtra 400006, India"
87,True,"No 147/157, Digvijay Chawl, Dattaram Lad Marg, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India",Indian grocery store,Indian grocery store,14000033650560518427,Mumbai,False,IN,0x3be7cf5e02c03f59:0xc24a1c6e092cc91b,https://lh5.googleusercontent.com/p/AF1QipNGAJlHByXfwblvm_JjBmEtvY5828q51y4IAzsK=w408-h725-k-no,3.0,False,18.988373,72.837004,"Kalachowki, Lal Baug, Parel",Monday,9:30 AM to 9 PM,Tuesday,9:30 AM to 9 PM,Wednesday,9:30 AM to 9 PM,Thursday,9:30 AM to 9 PM,Friday,9:30 AM to 9 PM,Saturday,9:30 AM to 9 PM,Sunday,3 to 9 PM,False,+91 93225 90678,919322590678.0,ChIJWT_AAl7P5zsRG8ksCW4cSsI,400033.0,19,6,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"No 147/157, Digvijay Chawl, Dattaram Lad Marg",पतंजलि चिकित्सालय,False,Patanjali Chikitsalay,5.0,https://www.google.com/maps/search/?api=1&query=Patanjali%20Chikitsalay&query_place_id=ChIJWT_AAl7P5zsRG8ksCW4cSsI,"147/157, Digvijay Chawl, Dattaram Lad Marg","147/157, Digvijay Chawl, Dattaram Lad Marg, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India"
96,True,"A' building, Shop no 26, backside of chandralok, 97, Nepean Sea Rd, Mumbai, Maharashtra 400006, India",Indian grocery store,Indian grocery store,12566580256622043710,Mumbai,False,IN,0x3be7cd57b06f41d7:0xae657629ad64e23e,https://lh5.googleusercontent.com/p/AF1QipNbeeZlL68P0O_94q0Xwjmsvs3tnB4DsWcF9he3=w507-h240-k-no,4.0,False,18.9505632,72.7961856,"Vasant Vihar, Malabar Hill",Monday,9 AM to 8 PM,Tuesday,9 AM to 8 PM,Wednesday,9 AM to 8 PM,Thursday,9 AM to 8 PM,Friday,9 AM to 8 PM,Saturday,9 AM to 8 PM,Sunday,Closed,False,+91 99300 90542,919930090542.0,ChIJ10FvsFfN5zsRPuJkrSl2Za4,400006.0,13,6,2024-09-22T16:37:15.838Z,"https://www.google.com/maps/search/grocery/@18.94853022976274,72.7955457652596,16z?hl=en",grocery,Maharashtra,"A' building, Shop no 26, backside of chandralok, 97, Nepean Sea Rd",आरती कोल्लेक्टिओंस,False,Aarti Collections,4.8,https://www.google.com/maps/search/?api=1&query=Aarti%20Collections&query_place_id=ChIJ10FvsFfN5zsRPuJkrSl2Za4,"A' building, Shop 26, backside chandralok, 97, Nepean Sea Rd","A' building, Shop 26, backside chandralok, 97, Nepean Sea Rd, Mumbai, Maharashtra 400006, India"
98,True,"Shop No, 6, 3rd Sankli St, Ashadham Colony, Byculla, Mumbai, Maharashtra 400008, India",Grocery delivery service,Grocery delivery service,12080009592867449503,Mumbai,False,IN,0x3be7cf124704c065:0xa7a4d0b8da2cea9f,https://lh5.googleusercontent.com/p/AF1QipO86dkmWETThhGSOj1y__59Ke0P8TIQzGF_AwoZ=w408-h407-k-no,51.0,False,18.9733611,72.8296653,"Ashadham Colony, Byculla",Monday,9:30 AM to 11 PM,Tuesday,9:30 AM to 11 PM,Wednesday,9:30 AM to 11 PM,Thursday,9:30 AM to 11 PM,Friday,9:30 AM to 11 PM,Saturday,9:30 AM to 11:30 PM,Sunday,9:30 AM to 11:30 PM,False,+91 72086 63160,917208663160.0,ChIJZcAERxLP5zsRn-os2rjQpKc,400008.0,21,10,2024-09-22T16:37:16.776Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Shop No, 6, 3rd Sankli St",बॉम्बे ग्रोसेरी कॉर्नर एंड कन्वेनियंस स्टोर्स,False,Bombay Grocery Corner and Convenience Stores,4.4,https://www.google.com/maps/search/?api=1&query=Bombay%20Grocery%20Corner%20and%20Convenience%20Stores&query_place_id=ChIJZcAERxLP5zsRn-os2rjQpKc,"Shop No, 6, 3rd Sankli St","Shop No, 6, 3rd Sankli St, Ashadham Colony, Byculla, Mumbai, Maharashtra 400008, India"
100,True,"Shop No 01, 1st Cross Lane, N. M Joshi Marg, Station, near Byculla, Jacob Circle, Mumbai, Maharashtra 400011, India",Grocery store,Grocery store,17064793778760059600,Mumbai,False,IN,0x3be7ce5cd730be29:0xecd25387544a0ad0,https://lh5.googleusercontent.com/p/AF1QipNGC6dUvXbAamHJFnlVnpX8GH8aUjdfZQUybgK4=w408-h544-k-no,4.0,False,18.9778573,72.8313421,"Byculla West, Jacob Circle",Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 10 PM,False,+91 96197 31467,919619731467.0,ChIJKb4w11zO5zsR0ApKVIdT0uw,400011.0,40,2,2024-09-22T16:37:16.777Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Shop No 01, 1st Cross Lane, N. M Joshi Marg, Station, near Byculla",महादेव किराना स्टोर,False,Mahadev Kirana Store,5.0,https://www.google.com/maps/search/?api=1&query=Mahadev%20Kirana%20Store&query_place_id=ChIJKb4w11zO5zsR0ApKVIdT0uw,"Shop 01, 1st Cross Lane, N. Joshi Marg, Station, near Byculla","Shop 01, 1st Cross Lane, N. Joshi Marg, Station, near Byculla, Jacob Circle, Mumbai, Maharashtra 400011, India"
